date,time,age_group,gender,education_level,income_bracket,academic_grade,study_hours,relevance_score,interactive_methods,teaching_realworld,motivation_level,learning_environment,sense_of_belonging,internet_reliability,access_to_resources,parent_goal_discussion,family_encouragement,financial_concern,extracurricular_impact,interest_level,challenges_teaching,challenges_school,challenges_influence,challenges_financial,challenges_mental,learning_environment_interactive,learning_environment_structured,learning_environment_group,learning_environment_digital,learning_environment_oneonone,career_clarity,mentorship_helpfulness,use_stress_service,improvement_suggestion
01/10/2025,5:56:24 PM,21-28,Male,Undergraduate,"100,000 – 300,000",Excellent,(6-10),4,4,4,4,4,4,Neutral,Agree,Rarely,Strongly agree,Moderately,Average,3,0,0,0,1,0,0,0,1,0,0,5,Moderately helpful,Yes,Money 
01/10/2025,6:05:39 PM,21-28,Male,Undergraduate,"100,000 – 300,000",Excellent,(6-10),1,2,3,3,2,3,Reliable,Agree,Rarely,Agree,Severely,Average,5,0,1,0,1,0,1,0,1,0,1,5,Very helpful,Yes,Providing learning facilities to ease learning 
01/10/2025,6:11:38 PM,13-20,Female,Undergraduate,"100,000 – 300,000",Excellent,(6-10),5,2,2,4,2,2,Neutral,Disagree,Daily,Strongly agree,Moderately,Not really,3,1,1,0,1,1,1,0,0,1,0,3,Slightly helpful,Yes,Financial support 
01/10/2025,6:12:25 PM,21-28,Female,Graduate,"Above 1,000,000",Average,(11-15),4,4,4,4,4,4,Very Reliable,Disagree,Never,Agree,Moderately,Not really,2,0,0,1,0,0,0,1,0,0,0,5,Slightly helpful,Yes,Qualified teachers should be available for students .When I was in school I have the best physics teacher and the worst chemistry teacher 
01/10/2025,6:13:26 PM,21-28,Female,Graduate,"Above 1,000,000",Excellent,(6-10),4,4,4,4,4,4,Neutral,Disagree,Rarely,Agree,Significantly,Average,4,1,0,1,0,0,0,1,1,0,0,5,Slightly helpful,Yes,"The biggest change my school could make is creating a more engaging and practical learning environment, where lessons connect directly to real-life skills and future opportunities. This would make education feel more meaningful and motivating."
01/10/2025,6:17:55 PM,13-20,Female,Undergraduate,"100,000 – 300,000",Good,(0-5),5,3,3,4,1,2,Unreliable,Disagree,Weekly,Strongly agree,Moderately,Not really,4,1,1,0,0,0,1,0,1,0,0,3,Moderately helpful,Yes,Make the environment conducive physically and mentally 
01/10/2025,6:19:49 PM,21-28,Female,Undergraduate,30000,Good,(0-5),3,3,4,4,1,2,Unreliable,Disagree,Monthly,Agree,Severely,Not at all,4,0,0,0,1,0,0,1,0,0,0,1,Not helpful,No,Decrease in school fees 
01/10/2025,6:33:37 PM,21-28,Female,Graduate,"100,000 – 300,000",Good,(0-5),3,3,3,3,3,2,Unreliable,Agree,Monthly,Agree,Significantly,Average,4,1,1,0,0,1,1,0,1,0,1,4,Moderately helpful,Yes,It should be restructured in order to have access to learning materials.
01/10/2025,6:35:42 PM,13-20,Male,Undergraduate,"300,001 – 600,000",Average,(11-15),2,2,2,1,1,1,Unreliable,Agree,Rarely,Strongly agree,Significantly,Not at all,4,0,0,0,0,1,1,0,0,0,0,4,Slightly helpful,Yes,Make it interactive 
01/10/2025,6:48:28 PM,21-28,Female,Undergraduate,"300,001 – 600,000",Good,(0-5),5,3,2,2,2,4,Reliable,Agree,Daily,Agree,Slightly,Not at all,3,1,0,1,0,0,0,0,1,1,1,4,Moderately helpful,No,Mentorship and guidance
01/10/2025,6:56:33 PM,13-20,Female,Undergraduate,"100,000 – 300,000",Below Average,16+,5,3,4,5,1,5,Reliable,Strongly agree,Weekly,Strongly agree,Severely,Very much,3,1,0,0,1,0,1,0,0,0,1,5,Very helpful,Yes,Well detailed and interactive learning 
01/10/2025,7:29:58 PM,13-20,Male,Undergraduate,Unknown,Good,(0-5),3,2,3,3,2,2,Neutral,Disagree,Rarely,Agree,Moderately,Not really,3,0,0,0,1,0,1,0,0,0,0,3,Very helpful,Maybe,Provision of Learning Facilities to learn and practice.
01/10/2025,7:31:58 PM,13-20,Female,Undergraduate,"Above 1,000,000",Good,(11-15),5,1,1,2,1,4,Unreliable,Disagree,Rarely,Agree,Moderately,Average,5,0,0,0,1,0,0,0,1,0,0,4,Very helpful,Yes,My school should reduce its fees and improve its teaching environment. 
01/10/2025,7:54:51 PM,13-20,Female,Undergraduate,"300,001 – 600,000",Good,(6-10),3,2,1,5,1,1,Very Unreliable,Disagree,Daily,Agree,Slightly,Not at all,1,1,1,0,1,1,1,0,0,0,0,3,Very helpful,Yes,Fix the network issue.
01/10/2025,8:24:18 PM,13-20,Male,Undergraduate,"100,000 – 300,000",Good,(6-10),5,4,5,2,5,4,Reliable,Agree,Monthly,Agree,Significantly,Very much,4,1,1,0,1,0,1,0,0,0,0,5,Slightly helpful,Yes,Computer based exam instead of written 
01/10/2025,10:25:36 PM,21-28,Female,Graduate,"100,000 – 300,000",Good,(11-15),4,4,3,3,4,4,Neutral,Agree,Rarely,Agree,Moderately,Average,5,1,0,0,0,1,1,1,1,0,1,3,Very helpful,No,More of real life work experience in every required courses.
02/10/2025,7:04:35 AM,13-20,Female,Undergraduate,"100,000 – 300,000",Good,(6-10),3,2,2,3,3,4,Unreliable,Agree,Weekly,Agree,Significantly,Average,2,1,1,1,1,1,1,0,0,0,0,3,Slightly helpful,Yes,Making the lecture and lecture environments more conducive and engaging students more and ensuring they understand what they're being taught
02/10/2025,8:27:41 AM,21-28,Female,Undergraduate,"100,000 – 300,000",Excellent,(6-10),1,2,2,1,2,1,Unreliable,Agree,Rarely,Agree,Severely,Not really,5,0,0,0,1,0,0,0,1,0,0,5,Not helpful,Yes,"The education system.
"
02/10/2025,8:29:10 AM,13-20,Male,Undergraduate,"300,001 – 600,000",Good,(0-5),5,3,3,5,4,3,Unreliable,Agree,Rarely,Strongly agree,Slightly,Very much,4,1,0,0,0,0,0,1,0,0,0,3,Slightly helpful,No,Hold lectures accountable
02/10/2025,8:33:20 AM,21-28,Male,Graduate,"100,000 – 300,000",Average,(0-5),5,5,3,3,1,4,Unreliable,Agree,Rarely,Agree,Slightly,Average,3,1,1,0,0,0,1,1,1,1,0,3,Moderately helpful,Yes,"The school needs to restructure some courses and make reasonable changes to them, thereby improving the learning system."
02/10/2025,8:33:50 AM,21-28,Male,Undergraduate,"100,000 – 300,000",Average,(0-5),5,3,2,4,1,2,Very Unreliable,Disagree,Rarely,Strongly agree,Significantly,Very much,3,1,1,0,1,1,0,0,0,1,0,3,Slightly helpful,Yes,Update the curriculum 
02/10/2025,8:37:37 AM,21-28,Female,Graduate,"100,000 – 300,000",Good,(0-5),4,3,4,5,2,4,Very Unreliable,Disagree,Rarely,Agree,Significantly,Not really,4,0,1,1,1,1,1,0,0,0,0,4,Moderately helpful,Yes,Curriculum changes
02/10/2025,8:40:13 AM,21-28,Male,Graduate,"300,001 – 600,000",Average,(0-5),5,2,3,5,5,4,Unreliable,Agree,Rarely,Agree,Slightly,Not really,3,0,0,0,0,1,1,0,1,1,0,3,Very helpful,Yes,Make learning more interactive 
02/10/2025,8:41:05 AM,21-28,Male,Undergraduate,"100,000 – 300,000",Good,(6-10),3,3,2,2,2,3,Neutral,Disagree,Rarely,Agree,Significantly,Average,4,1,0,0,0,1,1,1,1,0,0,3,Very helpful,Yes,Opening the change of course portal so I could change to the course I want
02/10/2025,8:47:02 AM,21-28,Male,Graduate,"100,000 – 300,000",Good,(0-5),2,2,4,4,4,3,Neutral,Agree,Rarely,Strongly agree,Moderately,Average,3,0,0,0,1,1,1,1,0,0,0,3,Moderately helpful,Yes,Structured lessons
02/10/2025,8:47:42 AM,21-28,Male,Undergraduate,"100,000 – 300,000",Good,(11-15),3,3,2,4,2,3,Neutral,Disagree,Monthly,Agree,Moderately,Average,4,0,1,0,1,1,1,0,1,1,0,3,Slightly helpful,Yes,Improve practical to real world standards 
02/10/2025,9:48:23 AM,21-28,Female,Graduate,"100,000 – 300,000",Good,(0-5),5,5,3,3,1,3,Unreliable,Agree,Rarely,Agree,Severely,Not really,4,0,1,0,1,0,1,0,0,0,1,4,Very helpful,Yes,To improve in more practical than theories
02/10/2025,9:54:54 AM,21-28,Male,Graduate,"100,000 – 300,000",Good,(0-5),3,3,2,3,3,3,Neutral,Disagree,Rarely,Strongly agree,Not at all,Very much,4,0,0,0,0,1,1,0,1,0,1,2,Very helpful,Yes,Interative tutor 
02/10/2025,10:36:24 AM,21-28,Male,Graduate,"100,000 – 300,000",Average,(11-15),1,1,1,3,2,1,Unreliable,Disagree,Rarely,Agree,Slightly,Not really,3,1,1,0,1,0,1,1,1,0,1,3,Very helpful,Yes,Improve the learning facilities and teaching materials and methods
02/10/2025,11:18:50 AM,21-28,Male,Graduate,"600,001 – 1,000,000",Good,(6-10),3,2,3,2,3,3,Reliable,Disagree,Rarely,Agree,Moderately,Not really,3,0,0,0,1,0,1,0,0,1,1,3,Very helpful,No,Improve teaching methods 
02/10/2025,11:54:53 AM,21-28,Female,Graduate,"100,000 – 300,000",Average,(6-10),2,1,2,4,3,3,Very Unreliable,Disagree,Rarely,Agree,Moderately,Not really,3,1,1,0,0,0,1,0,0,0,0,1,Very helpful,Yes,Help lecturers with workshops/ trainings on how to have an interactive class and carry everyone along 
